0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:19:23 +0530] "GET /web2/search.jsp HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:19:23 +0530] "GET /web2/images%20(1).jpg HTTP/1.1" 200 4047
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:21:03 +0530] "GET /web2/searchone.jsp HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:21:03 +0530] "GET /web2/download.png HTTP/1.1" 200 2024
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:23:39 +0530] "GET /web2/admindash.jsp HTTP/1.1" 200 8340
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:23:46 +0530] "GET /web2/users.jsp HTTP/1.1" 200 3189
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:23:51 +0530] "GET /web2/insertsubject.jsp HTTP/1.1" 200 1359
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:23:55 +0530] "GET /web2/addadmin.jsp HTTP/1.1" 200 4375
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:23:55 +0530] "GET /web2/addadmin.jsp HTTP/1.1" 200 4375
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:23:58 +0530] "GET /web2/adduser.jsp HTTP/1.1" 200 4416
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:23:58 +0530] "GET /web2/adduser.jsp HTTP/1.1" 200 4416
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:25:36 +0530] "GET /web2/update.jsp HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:25:55 +0530] "GET /web2/updatesubject.jsp HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:31:26 +0530] "GET /web2/admindash.jsp HTTP/1.1" 200 8340
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:31:31 +0530] "GET /web2/homepage.jsp HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:31:31 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:31:31 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:31:31 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:45:24 +0530] "GET /web2/question.jsp HTTP/1.1" 200 1792
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:45:54 +0530] "GET /web2/question.jsp HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:46:03 +0530] "GET /web2/question.jsp HTTP/1.1" 200 1828
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:46:16 +0530] "GET /web2/question.jsp HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:46:50 +0530] "GET /web2/search.jsp HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:47:06 +0530] "GET /web2/search.jsp HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:49:15 +0530] "GET /web2/search.jsp HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:49:15 +0530] "GET /web2/121.jpg HTTP/1.1" 200 1924793
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:51:54 +0530] "GET /web2/score.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:52:01 +0530] "GET /web2/scores.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:52:01 +0530] "GET /web2/sc.jpg HTTP/1.1" 200 6195085
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:54:17 +0530] "GET /web2/scores.jsp HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:54:17 +0530] "GET /web2/sc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:54:20 +0530] "GET /web2/scores.jsp HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:54:21 +0530] "GET /web2/scores.jsp HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:55:49 +0530] "GET /web2/exam.jsp HTTP/1.1" 200 1794
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:55:49 +0530] "GET /web2/sc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:56:00 +0530] "GET /web2/exam.jsp HTTP/1.1" 200 1794
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:58:05 +0530] "GET /web2/search.jsp HTTP/1.1" 200 719
0:0:0:0:0:0:0:1 - - [20/Jan/2023:19:58:05 +0530] "GET /web2/121.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:02:18 +0530] "GET /web2/users.jsp HTTP/1.1" 200 3189
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:02:52 +0530] "GET /web2/search.jsp HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:03:31 +0530] "GET /web2/search.jsp HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:04:06 +0530] "GET /web2/search.jsp HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:04:18 +0530] "GET /web2/search.jsp HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:04:19 +0530] "GET /web2/search.jsp HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:05:53 +0530] "GET /web2/search.jsp HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:06:18 +0530] "GET /web2/question.jsp HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:06:45 +0530] "GET /web2/update.jsp HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:07:52 +0530] "GET /web2/updatesubject.jsp HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [20/Jan/2023:20:10:22 +0530] "GET /web2/update.jsp HTTP/1.1" 200 1520
